size_bytes,size_elements,algbw_gbs,busbw_gbs,time_ms
32,8,0.00,0.00,0.88
256,64,0.00,0.03,0.87
1024,256,0.02,0.14,0.84
4096,1024,0.07,0.52,0.88
16384,4096,0.26,2.08,0.88
32768,8192,0.56,4.51,0.81
65536,16384,1.08,8.60,0.85
131072,32768,2.08,16.62,0.88
262144,65536,1.24,9.89,2.97
524288,131072,15.52,124.17,0.47
1048576,262144,48.95,391.59,0.30
2097152,524288,97.94,783.54,0.30
4194304,1048576,183.79,1470.32,0.32
16777216,4194304,319.12,2552.93,0.74
67108864,16777216,414.45,3315.63,2.27
268435456,67108864,429.15,3433.24,8.76
536870912,134217728,432.33,3458.66,17.39
1073741824,268435456,433.48,3467.82,34.68
